代码,名称,outstandings
870976,视声智能,
002986,宇新股份,
600596,新安股份,
601238,广汽集团,
603477,巨星农牧,
603235,天新药业,
600210,紫江企业,
002387,维信诺,
600777,新潮能源,
600728,佳都科技,
601137,博威合金,
300438,鹏辉能源,
301045,天禄科技,
836247,华密新材,
000758,中色股份,
002325,洪涛股份,
600459,贵研铂业,
600602,云赛智联,
688207,格灵深瞳,
002587,奥拓电子,
300932,三友联众,
301289,国缆检测,
301226,祥明智能,
002870,香山股份,
872925,锦好医疗,
001366,播恩集团,
603858,步长制药,
688107,安路科技,
603767,中马传动,
688121,卓然股份,
603887,城地香江,
300746,汉嘉设计,
300258,精锻科技,
600560,金自天正,
300179,四方达,
688058,宝兰德,
300816,艾可蓝,
603551,奥普家居,
301310,鑫宏业,
002184,海得控制,
300553,集智股份,
002636,金安国纪,
605499,东鹏饮料,
300396,迪瑞医疗,
002785,万里石,
002641,公元股份,
871970,大禹生物,
605305,中际联合,
600468,百利电气,
300092,科新机电,
002208,合肥城建,
603738,泰晶科技,
688560,明冠新材,
002830,名雕股份,
600522,中天科技,
603816,顾家家居,
002663,普邦股份,
002028,思源电气,
300108,ST吉药,
002591,恒大高新,
300082,奥克股份,
688013,天臣医疗,
002524,光正眼科,
300465,高伟达,
300815,玉禾田,
301216,万凯新材,
301338,凯格精机,
603005,晶方科技,
603931,格林达,
600458,时代新材,
002896,中大力德,
002510,天汽模,
605188,国光连锁,
300682,朗新科技,
833346,威贸电子,
002147,新光退,
600660,福耀玻璃,
603685,晨丰科技,
002716,金贵银业,
603856,东宏股份,
300710,万隆光电,
600879,航天电子,
002269,美邦服饰,
603139,康惠制药,
002301,齐心集团,
600979,广安爱众,
600552,凯盛科技,
600491,龙元建设,
688576,西山科技,
300326,凯利泰,
000939,凯迪退,
002709,天赐材料,
300104,乐视退,
000975,银泰黄金,
300259,新天科技,
600779,水井坊,
002943,宇晶股份,
603518,锦泓集团,
000626,远大控股,
873833,美心翼申,
300860,锋尚文化,
300543,朗科智能,
836419,万德股份,
301299,卓创资讯,
002602,世纪华通,
300725,药石科技,
002080,中材科技,
001872,招商港口,
601665,齐鲁银行,
300083,创世纪,
301042,安联锐视,
603798,康普顿,
603297,永新光学,
300851,交大思诺,
600754,锦江酒店,
002171,楚江新材,
002281,光迅科技,
000798,中水渔业,
002882,金龙羽,
688631,莱斯信息,
301503,智迪科技,
300442,润泽科技,
301307,美利信,
301418,协昌科技,
300770,新媒股份,
688218,江苏北人,
688569,铁科轨道,
